window_idx,t_start_s,t_end_s,covas_mean,ecg_mean,ecg_std,ecg_min,ecg_max,ecg_skew,ecg_kurt,ecg_hr_bpm,ecg_rr_mean_ms,ecg_rr_std_ms,ecg_rmssd,ecg_rr_range_ms,ecg_pnn50,eda_e4_mean,eda_e4_std,eda_e4_min,eda_e4_max,eda_e4_skew,eda_e4_kurt,eda_e4_scl_mean,eda_e4_scl_std,eda_e4_scl_slope,eda_e4_scr_n_peaks,eda_e4_scr_mean_amp,eda_e4_scr_max_amp,eda_rb_mean,eda_rb_std,eda_rb_min,eda_rb_max,eda_rb_skew,eda_rb_kurt,eda_rb_scl_mean,eda_rb_scl_std,eda_rb_scl_slope,eda_rb_scr_n_peaks,eda_rb_scr_mean_amp,eda_rb_scr_max_amp,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_skew,bvp_kurt,bvp_ac_dc_ratio,bvp_hr_bpm,bvp_ibi_mean_ms,bvp_ibi_std_ms,bvp_ibi_cv,bvp_pulse_amp_mean,bvp_pulse_amp_std,bvp_vasomotor_power,emg_mean,emg_std,emg_min,emg_max,emg_skew,emg_kurt,emg_rms,emg_mav,emg_iemg,emg_wl,emg_zcr,emg_median_freq,emg_mean_freq,resp_mean,resp_std,resp_min,resp_max,resp_skew,resp_kurt,resp_rate_bpm,resp_interval_mean_s,resp_interval_std_s,resp_irregularity_idx,resp_amp_mean,resp_amp_std,resp_dominant_freq,cross_eda_e4_rb_corr,cross_hr_bvp_ecg_diff
0,0.0,9.996,24.7422,-0.009400633173255547,0.13045041619045172,-0.466521742357641,0.7453724053565083,2.015986074123827,7.914966241302999,71.83282542446669,835.2727272727273,82.88436632935178,111.4414644555607,268.0,45.45454545454545,2.428050091100319,0.07024766154129118,2.321568806805714,2.52733214123922,-0.29735697849893916,-1.416999189906295,2.3514126131999658,0.00447142515468199,5.6046485943025995e-06,0,0.0,0.0,10.40976170709093,0.1927586210286658,10.142511851417591,10.70826365541827,-0.21758892784091055,-1.6433935233078065,10.22162087752298,0.008534447545862371,1.0762808872175385e-05,1,0.3398361323343764,0.3398361323343764,0.008772718122121489,3.8550581570519395,-11.825984280620975,8.966520089169816,-0.5590627850950609,-0.05663335945145587,6.783421287790838,74.81296758104739,802.0,150.76532034318043,0.18798668371967636,5.231787290182794,2.0199461649384256,0.0,9.288986775531485e-06,0.00699327554566299,-0.0220210880994919,0.0281080793741485,0.2009513353745558,0.422978352066655,0.006991882921052116,0.005485592451973205,0.05485592451973204,17.889089878601016,0.4536,52.24609375,56.1223798849221,0.07292819001176913,3.854140217398469,-4.9065197883774125,7.208431771845413,0.38418833370072275,-1.2714453085387787,11.801730920535013,5.084,,,978314.5433392359,1206367.569914692,0.48828125,0.9775216635455555,2.9801421565806976
1,10.0,19.996,12.0494,-0.00014630569247524398,0.1318397053785472,-0.2727445269742484,0.835479942458074,2.5828648239825367,10.048064904465159,72.52747252747253,827.2727272727273,84.03462489842019,78.38367176906169,260.0,54.54545454545454,2.4878740981883514,0.035198520525402725,2.42324397229068,2.5358683720321467,-0.4402997385223429,-1.0216572773498065,2.51584769245079,0.0012592383022668168,-1.5877944989672907e-06,1,0.017665994421176112,0.017665994421176112,10.917224214920578,0.07585418469004476,10.708624495083171,10.999534882915452,-1.0706933938417629,0.17079795962120192,10.791673575532029,0.011594826831114222,1.4400244914399433e-05,2,0.17797004077828316,0.19950852075305292,-0.020616987036770906,3.5271895809244627,-8.364072471611447,9.092818785575886,0.11990861744436773,-0.38037283866446847,6.132494443983889,71.86411149825784,834.9090909090909,146.54518384815964,0.17552232385994732,5.603744215750869,2.1617240987065243,0.0,7.187328260757603e-07,0.007288818133673023,-0.0282431326190095,0.0290780233817467,0.13903656602178086,0.5638882249099382,0.007287360259684111,0.00564096078848125,0.0564096078848125,18.340967432157356,0.454,52.734375,55.901832553388154,0.14220052941747427,6.0074806332964945,-11.526707599023874,10.474437312034135,0.045211382890612085,-1.0452181975378017,10.56338028169014,5.680000000000001,,,1300273.4135992893,1837650.080467349,0.48828125,-0.624787047942436,0.6633610292146841
2,20.0,29.996,0.0,0.0021374707338771047,0.12623030856242892,-0.2493481808953163,0.8359106578386273,2.753190851145048,11.783286877183745,64.59948320413437,928.8,55.770960185386805,60.014812986276795,168.0,40.0,2.4361550327778656,0.013719852333047065,2.4150296691531783,2.456329989242969,-0.0637581772320647,-1.3792373302415073,2.432322132099093,0.0011600692698592301,1.4219187789689104e-06,4,0.019488287868764775,0.024281739298932514,10.931545455713076,0.12732014787681775,10.674844477226172,11.106794725129708,-0.3340146743276847,-1.0474143681877104,10.959568130413434,0.004994175932736271,6.054708408945938e-06,1,0.14969973243534973,0.14969973243534973,0.009286246053955801,3.1965551088800694,-7.378996695998873,8.20482855685497,-0.1502195217196531,-0.3449275908455509,6.05865175830072,84.59869848156181,709.2307692307693,242.04894609911506,0.34128376348031403,4.579921422188922,2.358320631238367,0.0,-5.218061299623184e-06,0.006931630193375198,-0.0265950830667272,0.0254359162432731,0.11449717669347462,0.39807987387059907,0.006930245693120794,0.005448116837885081,0.05448116837885081,17.906792307614673,0.4612,55.17578125,57.390870881196165,-0.4603994397359393,4.8770147067051575,-11.360893574751206,10.5418590740373,0.2778671256481237,-0.08060873226189624,11.700468018720748,5.128,,,7526047.613020139,10569764.6517979,0.48828125,0.9628177343357036,19.99921527742744
3,30.0,39.996,12.8256,-0.0016374223530506839,0.12667095795295658,-0.2407374464351209,0.7737283200354885,2.5898214842545926,10.028258349127457,72.11538461538461,832.0,77.72772992954316,55.5841704084895,232.0,18.181818181818183,2.5180730464628307,0.08016878045627908,2.415218337800209,2.6684879064908475,0.5553579323106942,-1.0729893298239228,2.439422507318235,0.003566076275442857,4.466038361000349e-06,2,0.05507422267082651,0.05954954308808791,10.824536239985337,0.12857755539282686,10.647592975432756,11.044632068153229,0.40178756202339194,-1.004730848929111,10.698248026253822,0.004813639092587344,6.0547595599532166e-06,2,0.23855290834447285,0.3423681819599764,-0.08504699141361016,3.2433786331089007,-9.231188675165344,8.411766590865344,-0.05740181524889746,-0.10700508844851209,6.797498052540285,73.75949932945909,813.4545454545455,240.67420453233603,0.2958668137970157,4.871957770533746,1.9153077736955475,0.0,5.698995246555248e-06,0.006704934974108902,-0.0228448353888961,0.0250961464837538,0.09306318499547918,0.2594545633997818,0.006703596275460863,0.0052981563028657724,0.052981563028657724,16.873999458812026,0.44,53.22265625,55.65466524388918,-0.174323628586842,3.6248711695063105,-4.619808294899723,7.885599903518823,0.5644801214870998,-1.007657084000893,11.565150346954509,5.188000000000001,,,5654468.0805031,6921406.073584254,0.48828125,0.9873484033863031,1.644114714074476
4,40.0,49.996,23.9438,-0.0004980408188241591,0.11955035514812035,-0.2319190531783043,0.7397424941120676,2.341083378329035,8.68553889453969,77.82101167315174,771.0,97.86261241705593,78.25366677438421,372.0,50.0,2.7471724523804,0.042194237771617946,2.668590191485303,2.811061431546677,-0.11099126724041049,-1.1471246587102715,2.7028513642679273,0.00472193793192194,5.881119028466945e-06,1,0.10494500547483199,0.10494500547483199,11.130290120189596,0.07295535715672338,11.028190633169002,11.215327406057806,-0.22461748416781618,-1.6588933864292612,11.050313374525341,0.0032035689266509382,4.053413300990819e-06,3,0.14972323178330824,0.16240156489342006,-0.0053522388102678065,3.4921742784754444,-10.83808504732256,9.396811017431602,-0.23507587000191207,-0.22100767420569234,7.0735331358607505,85.07853403141361,705.2307692307693,170.62539565089847,0.2419426421751396,4.518453610319521,2.2260746839959866,0.0,-3.2309267586784934e-06,0.0070490383115301165,-0.0349431049934731,0.0385787849814714,0.1324616556712438,1.3679897122632863,0.0070476291034545875,0.005430810863420748,0.054308108634207486,17.515703349546857,0.4488,54.19921875,56.52328255708601,0.3201304988240895,5.25626266904233,-7.102319542178434,12.06487639905284,0.4542364230770263,-0.8210217368834098,11.086474501108647,5.412,,,5296434.3557212725,7421254.0483277785,0.48828125,0.626878090862089,7.257522358261866
5,50.0,59.996,0.0,0.0005887268615010192,0.12456457518923672,-0.2452518641554359,0.738903139047539,2.5083165055089665,9.793313389738897,70.09345794392523,856.0,39.232639472765534,53.0659966456864,120.0,27.27272727272727,2.695288861567677,0.024994371852804752,2.6631331941956207,2.729915087638657,0.22364679977341528,-1.6988142044102572,2.681855233129415,0.000691482327267863,-8.239829943914033e-07,3,0.04497636484344255,0.048560048493166086,11.116138359328893,0.05013539972397695,10.975702174219911,11.193915472399166,-0.7099119808795182,0.18464523480945072,11.155068628841345,0.003474093679723709,-4.340393136326982e-06,1,0.004732180868987967,0.004732180868987967,0.10747474811731522,5.175893535555723,-24.401605601259103,17.82814452437482,-0.6324923930354563,3.4419149502229196,10.953922020756194,86.848635235732,690.8571428571429,205.4424333154994,0.2973732492159834,6.214985374690826,4.072360192716779,0.0,-1.8907628732612127e-06,0.007122759230070501,-0.0245924864820468,0.0320422988941295,0.23704719948669659,0.7011756024331008,0.007121334786746018,0.005530928179656172,0.05530928179656172,17.853955901949607,0.4392,54.19921875,56.425231005008946,0.1909035425875625,4.011446828884244,-5.014435341453883,7.055645306183567,0.384979279015332,-1.3251577993888581,10.830324909747294,5.539999999999999,,,2074094.542420523,2893326.9993930403,0.48828125,-0.6635351422712065,16.755177291806774
6,60.0,69.996,0.0,-0.00029157547480085854,0.12842092561054527,-0.242358949015315,0.7984145451108866,2.540507295464475,10.024949745604207,70.2127659574468,854.5454545454545,40.170545518734585,58.88293470947249,124.0,36.36363636363637,2.686508449743352,0.014897920999475182,2.6655216410599563,2.719797941911875,0.49445930412987543,-0.805716680821233,2.7035271019322704,0.0016098926783680585,-2.007684561215816e-06,2,0.00834387792784086,0.01205420218970854,10.753622270028147,0.08764905212629923,10.615747949541642,10.975440856537029,0.8554124846048784,0.04768679388785646,10.868015765118354,0.011506832075262062,-1.4288669862169593e-05,0,0.0,0.0,-0.03976607796086214,9.01396589387398,-26.55158987754394,41.81097395742008,0.9523312127522008,4.978694976998347,11.399568956447633,96.56652360515021,621.3333333333334,186.1284758542054,0.2995629976194293,8.654750735196956,10.212275648838464,0.0,-3.7652503420019384e-07,0.007098477369379188,-0.0395871492165992,0.0265077273273162,0.13716209356788153,0.9542547699563118,0.007097057541895385,0.005476051962286852,0.054760519622868514,17.397819268752805,0.4388,51.7578125,54.457218309324226,-0.39374108153749543,4.088005562602439,-6.462510813975699,7.510190687497718,0.3806312185949771,-1.137405282508544,11.574074074074076,5.183999999999999,,,69642.1038424215,97298.47629755425,0.48828125,0.96527663894847,26.353757647703404
7,70.0,79.996,0.0,-2.4130998177164464e-05,0.1250508955884423,-0.2364365446219868,0.807129895439951,2.670571642648968,11.605637580663577,67.51227495908347,888.7272727272727,124.87200719864396,112.73331362112975,436.0,72.72727272727273,2.6726940772888415,0.003460963348826253,2.665064168576019,2.679149284487128,-0.3429268906914514,-0.6008977366040047,2.665746979425192,0.000324826304665973,4.014227460208858e-07,8,0.008501302462022964,0.013146693559190403,10.558010829577258,0.03939230473795921,10.492595635679592,10.61562710394243,-0.3779774099692546,-1.4596505922699354,10.587344803508289,0.0022819659681889417,-2.8638498931680078e-06,1,0.007115762756775723,0.007115762756775723,-0.031842704367969335,3.535344670787122,-9.93435044075882,9.563788147801024,-0.031533848182336274,-0.5000390987885983,6.617130934847018,80.27995059695348,747.3846153846154,236.6930285065231,0.3166950772524496,5.077232303610755,2.1731438546412316,0.0,6.608722625579139e-06,0.006017346144199612,-0.0196161071451775,0.0261247299800236,0.1555052254218138,0.44735128335592833,0.006016146184434105,0.004720361161012655,0.047203611610126546,15.217353341612197,0.4492,52.734375,55.53432705417294,0.028149416445532097,3.7386140139188995,-5.339612637404434,7.774978440877377,0.3381042646658958,-1.1082927439758843,11.97126895450918,5.012,,,728202.7877773206,902698.333020144,0.48828125,-0.704320439033423,12.767675637870013
8,80.0,89.996,0.0,0.0002992592541926067,0.12878124059872362,-0.2695249649666725,0.7764864426069497,2.5550158056002594,10.035736773631916,67.70619614279853,886.1818181818181,44.08586662824761,58.787753826796276,144.0,36.36363636363637,2.74545964269346,0.054392529848578605,2.674679340610123,2.8515905701401616,0.6809163531915482,-0.7740650420874755,2.6906627274262203,0.002466807521806699,3.0861825147872664e-06,1,0.012994114149893043,0.012994114149893043,10.58210475459011,0.04745415308090024,10.488811048875585,10.681520381761525,-0.0007067235405367757,0.30355356547612944,10.518421440338122,0.0042714259749552915,5.300567711796459e-06,3,0.1024867433246186,0.15966077664753264,0.05298686372518341,2.751188443416278,-7.0115256015622105,7.491947270631861,-0.03827432339314267,-0.41266525869218373,6.44313074969371,86.17152236356175,696.2857142857143,169.57114620823208,0.24353673029495784,4.148731345109033,1.7995578348849361,0.0,-2.476163508743187e-06,0.0068148404704451195,-0.0269460251946079,0.0271583747856075,0.14256567860255276,0.4275345093745102,0.006813477815972349,0.005339762570963996,0.05339762570963996,17.62998870047835,0.4556,54.6875,56.89548047112334,-0.24198858387018735,3.6606520895133308,-5.217802193474647,6.202726486563258,0.4133228732032658,-1.2579357304046572,12.234910277324634,4.904,,,7771364.122763,10852748.633917725,0.48828125,0.8220229541842505,18.465326220763217
9,90.0,99.996,0.0,-0.0002652160439988604,0.12377686965632981,-0.2459139559815495,0.7468714622169697,2.4695348307790437,9.737455880775668,70.33248081841433,853.0909090909091,87.63726895043517,68.11754546370561,304.0,27.27272727272727,2.8034835307799244,0.024513567532497515,2.777397223636888,2.8519141720194643,0.6655229056915252,-0.9683629704263654,2.8303186856343205,0.002303812367218615,-2.879478236015695e-06,1,0.016308607751462034,0.016308607751462034,10.398191097361577,0.13957843299258818,10.236567811360525,10.677280743167977,0.6396870445354654,-1.044260160502144,10.56014939063845,0.013477059328515914,-1.6829049866980304e-05,0,0.0,0.0,-0.06426621062617562,4.048753576374653,-9.75843802133235,13.049721121238589,-0.06905887967475677,-0.0351129259037708,6.856793642387635,84.08796895213455,713.5384615384615,148.98356474491595,0.2087954227774803,5.398094601303835,2.7808836829286574,0.0,-3.7244589504492235e-06,0.006621875297461598,-0.0221621023879289,0.0249494905113787,0.10224802789043366,0.39656821249281204,0.00662055183755437,0.005172062137500475,0.05172062137500475,16.664491051783912,0.442,53.7109375,55.97962147064731,-0.11526300277572928,3.7591454359304173,-5.578817180370223,6.953862385285971,0.4159299585579431,-1.1941481644413205,11.71875,5.12,,,1515829.264307961,2107726.0399659523,0.48828125,0.9974852850393957,13.75548813372022
